日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2019/10/09 16:09:00,107.151,107.159,107.151,107.156,107.154,107.162,107.154,107.159
2019/10/09 16:10:00,107.156,107.17,107.151,107.153,107.159,107.173,107.154,107.156
2019/10/09 16:11:00,107.153,107.158,107.149,107.158,107.156,107.161,107.152,107.161
2019/10/09 16:12:00,107.158,107.162,107.153,107.154,107.161,107.165,107.156,107.157
2019/10/09 16:13:00,107.154,107.155,107.144,107.144,107.157,107.158,107.147,107.147
2019/10/09 16:14:00,107.144,107.146,107.141,107.144,107.147,107.149,107.144,107.147
2019/10/09 16:15:00,107.144,107.146,107.136,107.146,107.147,107.149,107.139,107.149
2019/10/09 16:16:00,107.146,107.169,107.146,107.158,107.149,107.172,107.149,107.161
2019/10/09 16:17:00,107.158,107.159,107.152,107.153,107.161,107.162,107.155,107.156
2019/10/09 16:18:00,107.153,107.165,107.152,107.152,107.156,107.168,107.155,107.155
2019/10/09 16:19:00,107.152,107.167,107.15,107.165,107.155,107.172,107.153,107.168
2019/10/09 16:20:00,107.165,107.167,107.115,107.118,107.168,107.17,107.118,107.121
2019/10/09 16:21:00,107.118,107.145,107.118,107.134,107.121,107.148,107.121,107.137
2019/10/09 16:22:00,107.134,107.139,107.123,107.123,107.137,107.142,107.126,107.126
2019/10/09 16:23:00,107.123,107.139,107.12,107.137,107.126,107.142,107.123,107.14
2019/10/09 16:24:00,107.137,107.14,107.128,107.136,107.14,107.143,107.132,107.139
2019/10/09 16:25:00,107.136,107.14,107.129,107.131,107.139,107.143,107.132,107.134
2019/10/09 16:26:00,107.131,107.137,107.128,107.128,107.134,107.14,107.131,107.131
2019/10/09 16:27:00,107.128,107.135,107.119,107.135,107.131,107.138,107.122,107.138
2019/10/09 16:28:00,107.135,107.161,107.135,107.152,107.138,107.164,107.138,107.155
2019/10/09 16:29:00,107.152,107.177,107.152,107.172,107.155,107.181,107.155,107.175
2019/10/09 16:30:00,107.172,107.177,107.165,107.171,107.175,107.18,107.168,107.174
2019/10/09 16:31:00,107.171,107.176,107.164,107.164,107.174,107.179,107.167,107.167
2019/10/09 16:32:00,107.164,107.169,107.154,107.169,107.167,107.172,107.157,107.172
2019/10/09 16:33:00,107.169,107.194,107.168,107.192,107.172,107.197,107.171,107.195
2019/10/09 16:34:00,107.192,107.197,107.187,107.197,107.195,107.2,107.19,107.2
2019/10/09 16:35:00,107.197,107.292,107.194,107.267,107.2,107.295,107.197,107.274
2019/10/09 16:36:00,107.267,107.271,107.242,107.243,107.274,107.276,107.246,107.246
2019/10/09 16:37:00,107.243,107.267,107.243,107.254,107.246,107.27,107.246,107.257
2019/10/09 16:38:00,107.254,107.255,107.235,107.244,107.257,107.258,107.238,107.247
2019/10/09 16:39:00,107.244,107.256,107.244,107.254,107.247,107.259,107.247,107.257
2019/10/09 16:40:00,107.254,107.264,107.252,107.254,107.257,107.267,107.255,107.257
2019/10/09 16:41:00,107.254,107.276,107.254,107.271,107.257,107.279,107.257,107.274
2019/10/09 16:42:00,107.271,107.276,107.243,107.267,107.274,107.279,107.249,107.27
2019/10/09 16:43:00,107.267,107.268,107.248,107.258,107.27,107.271,107.251,107.261
2019/10/09 16:44:00,107.258,107.273,107.258,107.27,107.261,107.276,107.261,107.273
2019/10/09 16:45:00,107.27,107.29,107.27,107.283,107.273,107.293,107.273,107.286
2019/10/09 16:46:00,107.283,107.289,107.28,107.284,107.286,107.292,107.283,107.287
2019/10/09 16:47:00,107.284,107.288,107.268,107.268,107.287,107.291,107.271,107.271
2019/10/09 16:48:00,107.268,107.277,107.259,107.261,107.271,107.28,107.262,107.264
2019/10/09 16:49:00,107.261,107.266,107.247,107.25,107.264,107.269,107.251,107.253
2019/10/09 16:50:00,107.25,107.265,107.249,107.265,107.253,107.268,107.252,107.268
2019/10/09 16:51:00,107.265,107.266,107.245,107.248,107.268,107.269,107.248,107.251
2019/10/09 16:52:00,107.248,107.248,107.239,107.24,107.251,107.251,107.242,107.243
2019/10/09 16:53:00,107.24,107.241,107.234,107.239,107.243,107.244,107.237,107.242
2019/10/09 16:54:00,107.239,107.246,107.237,107.244,107.242,107.249,107.24,107.247
2019/10/09 16:55:00,107.244,107.245,107.239,107.24,107.247,107.248,107.242,107.243
2019/10/09 16:56:00,107.24,107.24,107.22,107.232,107.243,107.243,107.224,107.235
2019/10/09 16:57:00,107.232,107.236,107.223,107.224,107.235,107.239,107.226,107.227
2019/10/09 16:58:00,107.224,107.227,107.222,107.222,107.227,107.23,107.225,107.225
2019/10/09 16:59:00,107.222,107.224,107.21,107.21,107.225,107.227,107.213,107.213
2019/10/09 17:00:00,107.21,107.22,107.202,107.216,107.213,107.223,107.205,107.219
2019/10/09 17:01:00,107.216,107.222,107.215,107.222,107.219,107.226,107.218,107.225
2019/10/09 17:02:00,107.222,107.227,107.221,107.227,107.225,107.23,107.224,107.23
2019/10/09 17:03:00,107.227,107.229,107.221,107.227,107.23,107.232,107.224,107.23
2019/10/09 17:04:00,107.227,107.231,107.226,107.227,107.23,107.234,107.229,107.23
2019/10/09 17:05:00,107.227,107.228,107.225,107.227,107.23,107.231,107.228,107.23
2019/10/09 17:06:00,107.227,107.228,107.215,107.218,107.23,107.231,107.218,107.221
2019/10/09 17:07:00,107.218,107.231,107.217,107.228,107.221,107.234,107.22,107.231
2019/10/09 17:08:00,107.228,107.23,107.228,107.228,107.231,107.233,107.231,107.231
2019/10/09 17:09:00,107.228,107.232,107.225,107.226,107.231,107.235,107.228,107.229
2019/10/09 17:10:00,107.226,107.232,107.223,107.228,107.229,107.235,107.226,107.231
2019/10/09 17:11:00,107.228,107.234,107.226,107.234,107.231,107.237,107.229,107.237
2019/10/09 17:12:00,107.234,107.237,107.229,107.235,107.237,107.24,107.232,107.238
2019/10/09 17:13:00,107.235,107.249,107.235,107.248,107.238,107.252,107.238,107.251
2019/10/09 17:14:00,107.248,107.248,107.242,107.244,107.251,107.251,107.245,107.247
2019/10/09 17:15:00,107.244,107.249,107.24,107.247,107.247,107.252,107.243,107.25
2019/10/09 17:16:00,107.247,107.247,107.24,107.242,107.25,107.25,107.243,107.245
2019/10/09 17:17:00,107.242,107.248,107.239,107.244,107.245,107.251,107.242,107.247
2019/10/09 17:18:00,107.244,107.25,107.231,107.244,107.247,107.253,107.234,107.247
2019/10/09 17:19:00,107.244,107.254,107.237,107.243,107.247,107.258,107.24,107.246
2019/10/09 17:20:00,107.243,107.252,107.238,107.241,107.246,107.255,107.241,107.244
2019/10/09 17:21:00,107.241,107.261,107.241,107.253,107.244,107.264,107.244,107.256
2019/10/09 17:22:00,107.253,107.259,107.243,107.248,107.256,107.262,107.247,107.251
2019/10/09 17:23:00,107.248,107.281,107.248,107.277,107.251,107.284,107.251,107.28
2019/10/09 17:24:00,107.277,107.291,107.277,107.289,107.28,107.294,107.28,107.292
2019/10/09 17:25:00,107.289,107.292,107.276,107.279,107.292,107.295,107.279,107.282
2019/10/09 17:26:00,107.279,107.296,107.279,107.296,107.282,107.299,107.282,107.299
2019/10/09 17:27:00,107.296,107.298,107.289,107.291,107.299,107.301,107.292,107.294
2019/10/09 17:28:00,107.291,107.296,107.285,107.296,107.294,107.299,107.288,107.299
2019/10/09 17:29:00,107.296,107.301,107.287,107.289,107.299,107.304,107.29,107.292
2019/10/09 17:30:00,107.289,107.295,107.277,107.278,107.292,107.298,107.28,107.281
2019/10/09 17:31:00,107.278,107.29,107.278,107.281,107.281,107.293,107.281,107.284
2019/10/09 17:32:00,107.281,107.282,107.268,107.268,107.284,107.285,107.271,107.271
2019/10/09 17:33:00,107.268,107.272,107.266,107.27,107.271,107.275,107.269,107.273
2019/10/09 17:34:00,107.27,107.28,107.27,107.279,107.273,107.283,107.273,107.282
2019/10/09 17:35:00,107.279,107.279,107.266,107.276,107.282,107.282,107.269,107.279
2019/10/09 17:36:00,107.276,107.276,107.266,107.267,107.279,107.279,107.269,107.27
2019/10/09 17:37:00,107.267,107.268,107.258,107.262,107.27,107.271,107.261,107.265
2019/10/09 17:38:00,107.262,107.271,107.259,107.265,107.265,107.274,107.262,107.268
2019/10/09 17:39:00,107.265,107.271,107.259,107.267,107.268,107.274,107.262,107.27
2019/10/09 17:40:00,107.267,107.275,107.266,107.27,107.27,107.278,107.269,107.273
2019/10/09 17:41:00,107.27,107.27,107.254,107.254,107.273,107.273,107.257,107.257
2019/10/09 17:42:00,107.254,107.258,107.248,107.248,107.257,107.261,107.251,107.251
2019/10/09 17:43:00,107.248,107.255,107.241,107.255,107.251,107.258,107.244,107.258
2019/10/09 17:44:00,107.255,107.258,107.252,107.252,107.258,107.261,107.255,107.255
2019/10/09 17:45:00,107.252,107.277,107.25,107.277,107.255,107.28,107.253,107.28
2019/10/09 17:46:00,107.277,107.283,107.27,107.273,107.28,107.286,107.273,107.276
2019/10/09 17:47:00,107.273,107.273,107.266,107.266,107.276,107.276,107.269,107.269
2019/10/09 17:48:00,107.266,107.27,107.265,107.27,107.269,107.273,107.268,107.273
2019/10/09 17:49:00,107.27,107.27,107.258,107.26,107.273,107.273,107.261,107.263
2019/10/09 17:50:00,107.26,107.271,107.258,107.266,107.263,107.274,107.261,107.269
2019/10/09 17:51:00,107.266,107.267,107.256,107.26,107.269,107.27,107.259,107.263
2019/10/09 17:52:00,107.26,107.266,107.26,107.266,107.263,107.269,107.263,107.269
2019/10/09 17:53:00,107.266,107.268,107.262,107.268,107.269,107.271,107.265,107.271
2019/10/09 17:54:00,107.268,107.278,107.267,107.278,107.271,107.281,107.27,107.281
2019/10/09 17:55:00,107.278,107.29,107.274,107.281,107.281,107.293,107.277,107.284
2019/10/09 17:56:00,107.281,107.282,107.278,107.28,107.284,107.285,107.281,107.283
2019/10/09 17:57:00,107.28,107.28,107.267,107.27,107.283,107.283,107.27,107.273
2019/10/09 17:58:00,107.27,107.272,107.267,107.27,107.273,107.275,107.27,107.273
2019/10/09 17:59:00,107.27,107.272,107.264,107.268,107.273,107.275,107.267,107.271
2019/10/09 18:00:00,107.268,107.273,107.26,107.273,107.271,107.276,107.263,107.276
2019/10/09 18:01:00,107.273,107.275,107.27,107.272,107.276,107.278,107.273,107.275
2019/10/09 18:02:00,107.272,107.274,107.271,107.273,107.275,107.277,107.274,107.276
2019/10/09 18:03:00,107.273,107.279,107.273,107.278,107.276,107.282,107.276,107.281
2019/10/09 18:04:00,107.278,107.28,107.273,107.273,107.281,107.283,107.276,107.276
2019/10/09 18:05:00,107.273,107.291,107.273,107.29,107.276,107.294,107.276,107.293
2019/10/09 18:06:00,107.29,107.29,107.282,107.283,107.293,107.293,107.285,107.286
2019/10/09 18:07:00,107.283,107.283,107.273,107.277,107.286,107.286,107.276,107.28
2019/10/09 18:08:00,107.277,107.277,107.27,107.27,107.28,107.28,107.273,107.273
2019/10/09 18:09:00,107.27,107.27,107.268,107.269,107.273,107.273,107.271,107.272
2019/10/09 18:10:00,107.269,107.27,107.255,107.259,107.272,107.273,107.258,107.262
2019/10/09 18:11:00,107.259,107.361,107.254,107.361,107.262,107.366,107.257,107.364
2019/10/09 18:12:00,107.361,107.407,107.339,107.351,107.364,107.414,107.342,107.358
2019/10/09 18:13:00,107.351,107.378,107.34,107.36,107.358,107.381,107.349,107.363
2019/10/09 18:14:00,107.36,107.385,107.348,107.353,107.363,107.388,107.351,107.356
2019/10/09 18:15:00,107.353,107.37,107.335,107.341,107.356,107.374,107.338,107.344
2019/10/09 18:16:00,107.341,107.363,107.318,107.318,107.344,107.366,107.321,107.321
2019/10/09 18:17:00,107.318,107.334,107.303,107.334,107.321,107.337,107.306,107.337
2019/10/09 18:18:00,107.334,107.334,107.295,107.314,107.337,107.337,107.298,107.317
2019/10/09 18:19:00,107.314,107.324,107.295,107.307,107.317,107.327,107.298,107.31
2019/10/09 18:20:00,107.307,107.313,107.294,107.295,107.31,107.316,107.297,107.298
2019/10/09 18:21:00,107.295,107.307,107.294,107.302,107.298,107.31,107.297,107.305
2019/10/09 18:22:00,107.302,107.303,107.274,107.277,107.305,107.306,107.278,107.28
2019/10/09 18:23:00,107.277,107.278,107.256,107.266,107.28,107.281,107.259,107.269
2019/10/09 18:24:00,107.266,107.271,107.254,107.257,107.269,107.274,107.257,107.26
2019/10/09 18:25:00,107.257,107.267,107.256,107.265,107.26,107.271,107.259,107.268
2019/10/09 18:26:00,107.265,107.273,107.265,107.265,107.268,107.276,107.268,107.268
2019/10/09 18:27:00,107.265,107.27,107.261,107.269,107.268,107.273,107.264,107.272
2019/10/09 18:28:00,107.269,107.27,107.251,107.269,107.272,107.273,107.254,107.272
2019/10/09 18:29:00,107.269,107.278,107.259,107.259,107.272,107.281,107.266,107.266
2019/10/09 18:30:00,107.259,107.267,107.247,107.267,107.266,107.271,107.25,107.27
2019/10/09 18:31:00,107.267,107.274,107.259,107.266,107.27,107.277,107.264,107.269
2019/10/09 18:32:00,107.266,107.287,107.261,107.287,107.269,107.29,107.264,107.29
2019/10/09 18:33:00,107.287,107.289,107.273,107.275,107.29,107.292,107.276,107.278
2019/10/09 18:34:00,107.275,107.278,107.258,107.267,107.278,107.281,107.261,107.27
2019/10/09 18:35:00,107.267,107.277,107.267,107.275,107.27,107.28,107.27,107.278
2019/10/09 18:36:00,107.275,107.284,107.271,107.282,107.278,107.287,107.276,107.285
2019/10/09 18:37:00,107.282,107.289,107.282,107.285,107.285,107.292,107.285,107.288
2019/10/09 18:38:00,107.285,107.285,107.266,107.277,107.288,107.288,107.269,107.28
2019/10/09 18:39:00,107.277,107.279,107.261,107.261,107.28,107.282,107.264,107.264
2019/10/09 18:40:00,107.261,107.265,107.254,107.258,107.264,107.268,107.258,107.261
2019/10/09 18:41:00,107.258,107.259,107.255,107.257,107.261,107.262,107.258,107.26
2019/10/09 18:42:00,107.257,107.261,107.249,107.254,107.26,107.264,107.252,107.257
2019/10/09 18:43:00,107.254,107.264,107.249,107.264,107.257,107.267,107.252,107.267
2019/10/09 18:44:00,107.264,107.271,107.261,107.268,107.267,107.274,107.264,107.271
2019/10/09 18:45:00,107.268,107.307,107.265,107.306,107.271,107.31,107.268,107.309
2019/10/09 18:46:00,107.306,107.306,107.277,107.278,107.309,107.309,107.28,107.281
2019/10/09 18:47:00,107.278,107.362,107.269,107.335,107.281,107.37,107.274,107.342
2019/10/09 18:48:00,107.335,107.335,107.299,107.313,107.342,107.342,107.306,107.316
2019/10/09 18:49:00,107.313,107.318,107.29,107.301,107.316,107.321,107.293,107.304
2019/10/09 18:50:00,107.301,107.301,107.259,107.281,107.304,107.304,107.262,107.284
2019/10/09 18:51:00,107.281,107.291,107.277,107.287,107.284,107.294,107.28,107.29
2019/10/09 18:52:00,107.287,107.304,107.285,107.299,107.29,107.307,107.288,107.302
2019/10/09 18:53:00,107.299,107.309,107.289,107.295,107.302,107.317,107.292,107.302
2019/10/09 18:54:00,107.295,107.317,107.295,107.314,107.302,107.32,107.3,107.317
2019/10/09 18:55:00,107.314,107.33,107.313,107.324,107.317,107.333,107.316,107.327
2019/10/09 18:56:00,107.324,107.328,107.318,107.321,107.327,107.331,107.321,107.324
2019/10/09 18:57:00,107.321,107.337,107.321,107.33,107.324,107.343,107.324,107.333
2019/10/09 18:58:00,107.33,107.346,107.329,107.339,107.333,107.349,107.332,107.342
2019/10/09 18:59:00,107.339,107.354,107.335,107.34,107.342,107.357,107.338,107.343
2019/10/09 19:00:00,107.34,107.351,107.328,107.328,107.343,107.354,107.331,107.331
2019/10/09 19:01:00,107.328,107.333,107.315,107.319,107.331,107.336,107.318,107.322
2019/10/09 19:02:00,107.319,107.326,107.303,107.315,107.322,107.329,107.306,107.318
2019/10/09 19:03:00,107.315,107.319,107.313,107.316,107.318,107.322,107.316,107.319
2019/10/09 19:04:00,107.316,107.321,107.303,107.321,107.319,107.324,107.31,107.324
2019/10/09 19:05:00,107.321,107.321,107.304,107.308,107.324,107.324,107.307,107.311
2019/10/09 19:06:00,107.308,107.308,107.295,107.295,107.311,107.311,107.298,107.298
